INFO  - 2021-02-24 15:29:22.454; utils.log; START=EmpSearchCandidateByUniqueID--------------------------------------------------------------
INFO  - 2021-02-24 15:29:44.878; utils.log; Test Execution Started On  Alpha
INFO  - 2021-02-24 15:29:49.210; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2021-02-24 15:29:51.246; utils.log; University Login Successful
INFO  - 2021-02-24 15:30:51.752; utils.log; Talent Menu  Clicked
INFO  - 2021-02-24 15:30:53.838; utils.log; Candidates Tab  Clicked
INFO  - 2021-02-24 15:30:55.899; utils.log; By ID Radio Clicked
INFO  - 2021-02-24 15:30:58.112; utils.log; Wrong ID Entered and Search Button Clicked
INFO  - 2021-02-24 15:31:00.152; utils.log; No Results Found was displayed
INFO  - 2021-02-24 15:31:02.268; utils.log; Correct ID Entered and Search Button Clicked
INFO  - 2021-02-24 15:31:04.306; utils.log; Search Was  Succesfull and Result Returned	 
INFO  - 2021-02-24 15:31:04.307; utils.log; End TEST-------------------------- EmpSearchCandidateByUniqueID------------------------
INFO  - 2021-02-24 15:31:04.307; utils.log; END=PASSED
INFO  - 2021-02-24 15:31:04.987; utils.log; START=AddEmployerLocation--------------------------------------------------------------
INFO  - 2021-02-24 15:31:26.805; utils.log; Test Execution Started On  Alpha
INFO  - 2021-02-24 15:31:31.143; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2021-02-24 15:31:33.160; utils.log; University Login Successful
INFO  - 2021-02-24 15:31:45.833; utils.log; Employer Profile Menu Clicked
INFO  - 2021-02-24 15:31:49.964; utils.log; Location Menu Selected
INFO  - 2021-02-24 15:31:52.049; utils.log; Add New location  Clicked
INFO  - 2021-02-24 15:32:00.997; utils.log; Title Address, City , Country and Address Entered
INFO  - 2021-02-24 15:32:01.057; utils.log; Save Button Clicked
INFO  - 2021-02-24 15:32:03.073; utils.log; Location Was Created Succesfully 
INFO  - 2021-02-24 15:32:03.074; utils.log; End TEST-------------------------- AddEmployerLocation------------------------
INFO  - 2021-02-24 15:32:03.074; utils.log; END=PASSED
INFO  - 2021-02-24 15:32:03.702; utils.log; START=AddNewJob--------------------------------------------------------------
INFO  - 2021-02-24 15:32:57.077; utils.log; Test Execution Started On  Alpha
INFO  - 2021-02-24 15:33:01.428; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2021-02-24 15:33:03.443; utils.log; University Login Successful
INFO  - 2021-02-24 15:33:14.008; utils.log; Jobs Menu  Clicked
INFO  - 2021-02-24 15:33:18.594; utils.log; Add New Job Button  Clicked
INFO  - 2021-02-24 15:33:39.914; utils.log; End TEST-0
INFO  - 2021-02-24 15:33:52.117; utils.log; End TEST-1
INFO  - 2021-02-24 15:34:08.388; utils.log; Job Was Created Succesfully 
INFO  - 2021-02-24 15:34:08.389; utils.log; End TEST-------------------------- AddNewJob------------------------
INFO  - 2021-02-24 15:34:08.389; utils.log; END=PASSED
INFO  - 2021-02-24 15:34:09.060; utils.log; START=ChangeEmployerLogo--------------------------------------------------------------
INFO  - 2021-02-24 15:34:30.748; utils.log; Test Execution Started On  Alpha
INFO  - 2021-02-24 15:34:35.086; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2021-02-24 15:34:37.107; utils.log; University Login Successful
INFO  - 2021-02-24 15:34:45.123; utils.log; Employer Profile MenuClicked
INFO  - 2021-02-24 15:34:47.231; utils.log; Image Selected 
INFO  - 2021-02-24 15:34:59.234; utils.log; End TEST--------------------------ChangeEmployerLogo------------------------
INFO  - 2021-02-24 15:34:59.235; utils.log; END=PASSED
